Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
COLIN KUPNIEWSKI,Neumann University,"59, 7",D,10,0,2,2,0,0,0,0,2,0
TYLER WIESMAN,Cornell University,23,D,10,0,2,2,0,1,0,0,2,0
ROBERT LICCIARDELLO,Neumann University,14,D,10,0,2,2,0,1,0,0,18,0
ANDREW SEAMAN,SUNY Fredonia,"21, 53, 8",D,11,0,2,2,0,0,0,0,2,0
TRAVIS VANDUSEN,Niagara County Community College,18,F,11,0,2,2,0,1,0,0,6,0
FRANKIE STAPLETON,Clemson University,5,RW,11,0,2,2,0,0,0,1,2,0
SEAN BENKO,Cornell University,12,F,11,0,2,2,0,1,0,1,2,0
IAN HALL,Christopher Newport University,"37, 55",D,11,0,2,2,0,1,0,0,12,0
EVAN HOEY,University of South Carolina,2,D,11,0,2,2,0,0,0,0,4,0
BRYAN RECHIN,Alfred State College,11,D,12,0,2,2,0,1,0,0,8,0
HAKAN LOGAN,Erie Community College,28,D,13,0,2,2,0,0,0,1,24,0
DANIEL COFFEY,Lynn University,11,RW,13,0,2,2,0,0,0,0,4,0
JAKE SHUGAR,Millersville University,19,C,13,0,2,2,0,0,0,0,6,0
ANDREW MCCOLL,Middle Tennessee State University,"44, 83",C,14,0,2,2,0,0,0,0,5,0
JEB BORING,Liberty University,9,D,14,0,2,2,0,0,0,0,18,0
ETHAN TANGNEY,University of Central Florida,2,D,14,0,2,2,0,0,0,0,21,0
NOAH SOBKO,University at Buffalo,"26, 27, 28",LW,15,0,2,2,0,0,0,0,4,0
NATHANIEL BAILEY,University at Buffalo,"10, 3, 5, 55, 70",D,15,0,2,2,0,0,0,0,6,0
PATRICK SALFIA,University of North Carolina - Charlotte,9,D,16,0,2,2,0,0,0,0,2,0
TYLER  SMITH,Mass Maritime Academy,63,F,16,0,2,2,0,0,0,0,4,0
MITCHELL MARSH,St Bonaventure University,7,F,16,0,2,2,0,0,0,0,14,0
CHRISTOPHER TRICARICO,Fordham University,17,"C, D, F",16,0,2,2,0,1,0,0,6,0
HUNTER BARRETT,University of Tennessee,6,D,16,0,2,2,0,0,0,1,6,0
JEFFREY HYDE,Buffalo State College,18,D,17,0,2,2,0,0,0,0,0,0
GAVIN PERRY,Embry-Riddle University - FCHC,3,F,18,0,2,2,0,0,0,0,8,0
GEORGE PATTILLO,Auburn University,42,D,18,0,2,2,0,0,0,0,14,0
JACK OLSON,High Point University,44,D,18,0,2,2,0,0,0,0,5,0
