Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
CAMERON SACCO,University of Tampa,23,D,20,1,8,9,0,0,1,0,10,0
ANTHONY AMOIA,Medaille College,23,F,8,7,1,8,1,1,1,0,0,1
ANDREW LANDRY,Salisbury University,22,D,12,7,1,8,3,1,0,0,20,0
KOLTON WATTS,University of Alabama - Huntsville,18,F,2,6,2,8,2,1,0,0,18,2
JACK KINSMAN,Erie Community College,"11, 96",F,4,6,2,8,1,2,3,0,5,1
OWEN O BRIEN,Coastal Carolina University,4,F,5,6,2,8,1,0,0,0,2,1
MICHAEL DIBARI,Nichols College,73,"C, F",7,6,2,8,0,0,0,0,4,1
WILLIAM EIGENRAUCH,Catholic University,"21, 4",F,11,6,2,8,3,0,1,0,8,0
BEN METHVIN,University of Georgia,91,F,12,6,2,8,2,0,0,0,7,1
JACK PALLITTO,University of Delaware,"1, 14, 16, 17, 24, 6",F,17,6,2,8,0,0,1,0,12,0
PHIL MELITO,Kutztown University D2,48,"F, RW",17,6,2,8,0,0,0,0,0,0
PATRICK MCGOEY,Columbia University - MCHC,44,F,3,5,3,8,0,0,1,0,2,0
GORDON GERSTNER,Coastal Carolina University,89,F,6,5,3,8,2,0,0,0,2,0
DARIO MACARI,Babson College,88,F,7,5,3,8,2,0,0,0,4,0
BRAIDEN SPARKES,Anna Maria College,24,F,8,5,3,8,0,0,0,0,2,0
DAWSON TAYLOR,Anna Maria College,16,F,8,5,3,8,1,1,0,0,4,0
SHAYNE BILLO,Anna Maria College,27,D,8,5,3,8,2,0,0,0,14,1
CONNOR DOHERTY,Florida Atlantic University,19,C,9,5,3,8,0,2,1,0,26,0
NOLAN  GALLAGHER,Medaille College,8,F,9,5,3,8,0,1,0,0,16,0
RYAN LEE,University of Maryland Baltimore County,5,D,10,5,3,8,1,2,0,0,23,0
SAM HAMLETT,University of Binghamton,"10, 37",C,12,5,3,8,0,0,0,0,2,0
DANNY GONZALEZ,Old Dominion University,20,D,14,5,3,8,0,0,0,1,16,0
BRIAN BLOMQUIST,Clemson University,"12, 6, 7, 77",D,18,5,3,8,2,1,0,0,6,0
GARRETT KATCHIS,Franklin & Marshall College,18,D,5,4,4,8,0,1,0,0,9,1
QUINN KLAIMAN,Gettysburg College,25,D,5,4,4,8,1,1,0,0,4,0
ALEXANDER CROOK,University of Rochester,"24, 55",F,5,4,4,8,3,2,0,0,4,0
CHRISTOPHER MILLAR,Appalachian State,21,LW,6,4,4,8,0,0,0,1,2,0
NATE TRULL,Anna Maria College,25,D,8,4,4,8,0,1,0,1,2,0
ZACHARY FELSENFELD,Babson College,4,F,10,4,4,8,0,1,0,0,0,0
JARED BRENNER,Salisbury University,15,LW,10,4,4,8,1,1,0,0,6,0
AIDAN PRICE-GALLAGHER,Babson College,91,LW,11,4,4,8,0,0,1,0,6,0
MASON SULLIVAN,Southern Connecticut State University,"10, 17",RW,14,4,4,8,1,0,0,1,32,0
ISAAC FISCHER,Embry-Riddle University - FCHC,72,F,14,4,4,8,1,1,0,0,12,0
NATHAN SOBKO,St Bonaventure University,12,F,15,4,4,8,0,0,0,0,4,0
TURNER STANSBURY,Fordham University,3,C,16,4,4,8,1,2,1,0,26,0
NATE PERYKASZ,Quinnipiac University,12,D,16,4,4,8,0,0,0,0,20,0
MATTHEW ABERY,Auburn University,"18, 24",C,16,4,4,8,0,0,1,0,2,1
ANDREW WOOMER,Auburn University,44,F,16,4,4,8,2,1,0,0,20,0
HUNTER OLIVER,University at Buffalo,"18, 24",C,17,4,4,8,1,2,0,1,10,0
HUGH WHITE,University of Binghamton,15,D,17,4,4,8,0,0,0,1,6,0
KYLE MAZZA,University of Miami,18,LW,17,4,4,8,1,3,0,0,4,0
NATHAN PAWLOW,University of Mississippi,"10, 21",F,18,4,4,8,0,0,0,1,4,0
BRENDEN WETHERINFTON,Florida Southern College - FCHC,20,–,18,4,4,8,1,0,0,0,14,0
IAN BETKIS,Embry-Riddle University - FCHC,91,F,18,4,4,8,1,2,1,0,47,0
HARVEY RENCH,Middle Tennessee State University,14,C,19,4,4,8,0,0,0,0,20,0
TYLER BRIGGS,University of North Carolina - Charlotte,11,D,19,4,4,8,0,0,0,0,0,0
THOMAS CARROLL,Clemson University,19,F,19,4,4,8,0,1,1,0,12,0
TJ SINCHAK,Alvernia University,22,D,20,4,4,8,0,1,0,0,23,0
ERIC BUSH,Bucknell University,4,RW,3,3,5,8,1,1,0,1,15,0
NIKOLAS ERICKSON,University of Pittsburgh at Bradford,"12, 2",C,3,3,5,8,0,2,0,0,2,0
DOUGLAS RANDLE,Florida Atlantic University,98,C,9,3,5,8,1,2,0,1,6,0
LIAM MCCARTHY,College of Charleston,8,LW,9,3,5,8,0,3,0,0,6,0
NICK NAGY,Gannon University,"0, 10, 68, 77",F,9,3,5,8,1,3,0,0,2,0
TYLER STOWE,Florida Atlantic University,"70, 92",F,13,3,5,8,1,1,0,0,31,0
MICHAEL EISAMAN,Liberty University,2,D,17,3,5,8,1,0,0,0,4,0
MATT MALETTA,University of Tampa - FCHC,95,F,18,3,5,8,0,0,0,1,2,0
AIDAN GRAHAM,Fordham University,23,D,18,3,5,8,0,1,0,0,6,0
JAMES MARTIN,University of Alabama,12,D,18,3,5,8,0,1,0,0,10,0
RYAN OLSON,University of Alabama,"11, 90","D, F",18,3,5,8,1,3,0,0,16,0
COLIN REGIAN,Erie Community College,23,D,18,3,5,8,1,2,1,0,24,0
JOSEPH MENDOZA,"Embry-Riddle University , Embry-Riddle University - FCHC",6,D,19,3,5,8,3,0,0,0,20,0
Embry-Riddle University,6,–,2,0,0,0,0,0,0,0,0,0,
Embry-Riddle University - FCHC,6,D,17,3,5,8,3,0,0,0,20,0,
COLIN BRIDGES,Embry-Riddle University,13,D,22,3,5,8,0,2,0,0,10,0
TYLER YOUNG,University of South Florida,19,F,27,3,5,8,1,2,1,1,16,0
CAMERON KING,University of South Florida,6,D,29,3,5,8,0,0,0,1,31,0
ALEXANDER BZDELL,Colgate University,22,RW,4,2,6,8,1,1,0,0,0,0
BRENDEN PATTERSON,Anna Maria College,19,F,7,2,6,8,0,1,0,0,13,0
JOEY PADMANABHAN,Cornell University,3,D,7,2,6,8,0,5,1,0,10,0
GABRIEL GORLENKO,University At Albany,3,"C, F",8,2,6,8,0,3,0,0,0,0
DYLAN MCCLURE,York College of Pennsylvania,19,F,9,2,6,8,0,3,0,0,26,0
ALEC ZIMMERMAN,Medaille College,77,F,9,2,6,8,0,1,0,0,24,0
CHASE FRIEDFERTIG,College of Charleston,21,D,10,2,6,8,1,2,0,0,4,0
ERIC SCHWAB,Gannon University,"22, 67",D,12,2,6,8,1,1,0,0,14,0
GRANT POLLA,Catholic University,10,D,12,2,6,8,0,3,0,0,18,0
BOBBY LANE,Farmingdale State College - D3,9,F,13,2,6,8,0,2,1,0,23,0
STEVEN BOYLES,University of Delaware,"11, 14, 15, 17, 3",C,16,2,6,8,1,0,0,0,10,0
LUKE YOCUM,"Kutztown University D2 , Kutztown University D3",17,F,18,2,6,8,0,0,0,0,4,0
Kutztown University D2,17,F,17,2,5,7,0,0,0,0,4,0,
Kutztown University D3,17,–,1,0,1,1,0,0,0,0,0,0,
MATTHEW HARRITY,Florida State University,"20, 63",C,18,2,6,8,1,5,0,0,10,0
TYLER SHEDLOCK,University of Delaware,"14, 16, 19, 4, 5, 6, 7",D,19,2,6,8,1,2,0,0,28,0
MARCUS KNECHT,Penn State University - Harrisburg,26,F,22,2,6,8,0,2,0,0,2,0
THOMAS GADBOIS,University of Central Florida,13,D,24,2,6,8,0,2,0,1,42,0
OWEN WELCH,University of South Florida,9,D,28,2,6,8,0,3,0,0,47,0
BRENDEN ENGTOW,Coastal Carolina University,9,F,5,1,7,8,0,1,1,0,16,0
CONNOR PLAMONDON,University of Alabama,57,"C, F",9,1,7,8,0,1,0,0,10,0
DANIEL ROTAN,Farmingdale State College - D3,12,D,11,1,7,8,0,3,0,0,4,0
CONOR OGBORN,Widener University,47,D,15,1,7,8,0,0,0,0,51,0
ALEX BIALKOWSKI,Erie Community College,3,D,15,1,7,8,0,1,0,1,6,0
PAXTON KNUPP,High Point University,7,F,16,1,7,8,0,3,0,0,34,0
QUAID AKINS,Florida Institute of Technology - FCHC,16,"D, T",18,1,7,8,0,1,0,1,60,0
ROBERT CRISCUOLO,Hofstra University,18,D,19,1,7,8,1,2,0,0,8,0
AIDAN WOJCIECHOWSKI,Niagara University,4,D,20,1,7,8,0,4,0,1,17,0
HECTOR VARGAS,University at Buffalo,23,F,18,0,8,8,0,1,0,0,18,0
TYLER AVRON,University of Central Florida,6,D,20,0,8,8,0,4,0,1,8,0
PATRICK VETTER,Nichols College,88,RW,3,6,1,7,0,0,1,0,2,1
B GRETIOIRE,Wake Forest University ACHA D2,17,F,3,6,1,7,0,0,0,0,0,1
CHRISTOPHER COVENEY,Farmingdale State College - D3,44,C,8,6,1,7,3,0,0,0,63,0
JOSEPH PERACCHIA,Cornell University,15,"C, F",10,6,1,7,0,1,0,0,6,0
DANIEL FITZGIBBONS,Catholic University,"12, 2",F,11,6,1,7,1,0,0,0,2,0
MATTHEW MCGUIRK,Hofstra University,6,"F, T",14,6,1,7,0,0,1,0,10,0
BRANDON WEIS,Auburn University,22,F,15,6,1,7,1,0,0,1,10,0
JARED KORDONSKY,Bucknell University,17,C,3,5,2,7,2,0,0,0,12,0
LIAM WALSH,Coastal Carolina University,8,F,5,5,2,7,2,2,0,0,4,0
ANDREW SARAFIN,SUNY Geneseo,"75, 78, 88",–,6,5,2,7,0,0,1,0,18,0
RAYMOND WERNER,St Bonaventure University,10,F,9,5,2,7,0,0,0,0,0,0
JOHN DUFFY,Stony Brook University,29,C,10,5,2,7,1,0,0,0,6,1
GEHRIG ECKOFF,University of New Hampshire - D3,"2, 42",F,10,5,2,7,0,0,0,1,17,0
RYAN ALLARD,Lynn University,19,RW,14,5,2,7,1,1,0,0,16,0
WILLIAM FORTUGNO,Liberty University,11,RW,16,5,2,7,0,0,0,0,2,0
OWEN BARNO,"University of Florida , University of Florida (D3)","10, 28",RW,18,5,2,7,0,1,1,0,10,0
University of Florida,"10, 28",RW,16,4,1,5,0,1,1,0,8,0,
University of Florida (D3),10,–,2,1,1,2,0,0,0,0,2,0,
BRENDAN CULLEN,Fairfield University,"14, 19, 23, 72",F,18,5,2,7,0,1,1,0,12,0
XAVIER MORRIS,"University of Florida (D3) , University of Florida",18,"D, F",19,5,2,7,1,0,1,0,12,1
University of Florida (D3),18,D,7,5,1,6,1,0,1,0,4,1,
University of Florida,18,F,12,0,1,1,0,0,0,0,8,0,
ISAAC MURRAY,Erie Community College,"18, 92","C, F",5,4,3,7,2,1,0,0,6,0
DANNY KUHNER,East Carolina University,23,RW,6,4,3,7,3,1,0,0,6,0
STEVEN TOLLANDER,Old Dominion University,17,F,7,4,3,7,0,0,1,0,8,0
WILLIAM CZECH,Cornell University,6,F,8,4,3,7,2,1,0,0,6,0
SCOTT NEWLON,"University of Florida , University of Florida (D3)",92,LW,8,4,3,7,2,0,0,0,14,0
University of Florida,92,–,1,0,0,0,0,0,0,0,0,0,
University of Florida (D3),92,LW,7,4,3,7,2,0,0,0,14,0,
NICK CICH,Medaille College,"18, 21","D, F",9,4,3,7,1,1,0,0,16,0
SAMUEL MUEHLBRONNER,York College of Pennsylvania,5,D,10,4,3,7,0,0,0,1,8,0
BRIAN BARNETT,Neumann University,"9, 93",F,10,4,3,7,1,0,0,1,4,0
NATE KERNAN,SUNY Fredonia,"26, 53",D,10,4,3,7,1,2,0,0,2,0
KEVIN CAFEO,College of Charleston,17,F,10,4,3,7,3,0,0,0,16,0
KEVIN CULLEN,University of Binghamton,7,F,10,4,3,7,1,0,1,0,0,0
JOE JANNELLI,"Embry-Riddle University - FCHC , Embry-Riddle University",5,F,12,4,3,7,1,1,0,0,18,0
Embry-Riddle University - FCHC,5,F,6,3,2,5,0,1,0,0,16,0,
Embry-Riddle University,5,F,6,1,1,2,1,0,0,0,2,0,
MARCO MALANDRUCCOLO,Farmingdale State College - D3,32,LW,12,4,3,7,2,1,0,0,10,0
ALEX VERCOLEN,University of New Hampshire - D3,3,F,13,4,3,7,1,1,0,0,6,0
ADAM STAY,Millersville University,2,LW,13,4,3,7,1,0,0,0,8,0
JACOB HORWITZ,"University of Florida (D3) , University of Florida",44,"D, F",14,4,3,7,0,0,0,1,8,0
University of Florida (D3),44,–,1,2,0,2,0,0,0,0,0,0,
University of Florida,44,"D, F",13,2,3,5,0,0,0,1,8,0,
EDWIN SCRIVEN,Quinnipiac University,11,RW,15,4,3,7,0,2,0,0,2,0
JONATHAN BACKUS,University of North Carolina - Charlotte,25,LW,15,4,3,7,0,0,0,0,2,0
CONNOR YATES,University of Tampa - FCHC,29,LW,16,4,3,7,0,0,0,0,2,0
JAMES MCCARTHY,University of North Carolina - Charlotte,23,C,16,4,3,7,0,0,0,0,0,1
SHANE LINEY,Kutztown University D2,9,RW,17,4,3,7,0,1,0,0,10,0
COLIN CUNNINGHAM,Florida Atlantic University,"39, 42",C,18,4,3,7,1,1,0,0,4,0
KYLE UPTON,Kennesaw State University,17,"C, D, F",18,4,3,7,2,0,0,0,24,0
JOHN MEEHAN,Quinnipiac University,67,F,20,4,3,7,1,0,0,0,0,0
BRODERICK KAMUDA,University of Pittsburgh at Bradford,"75, 76",F,3,3,4,7,0,2,0,0,2,0
ANTHONY SONG,John Hopkins University,20,F,4,3,4,7,2,0,0,0,2,0
CONNOR GELABERT,SUNY Geneseo,8,F,4,3,4,7,0,1,0,0,0,0
MASON ALBERT,John Hopkins University,14,C,6,3,4,7,0,1,0,0,2,0
MIKE KELLEY,Anna Maria College,22,F,7,3,4,7,0,2,1,0,7,0
TREVOR RADIN,University of Binghamton,71,RW,7,3,4,7,0,0,1,0,2,0
RYAN CAIOLA,Anna Maria College,"36, 4",D,8,3,4,7,0,0,0,0,0,1
KYLE MACK,SUNY Fredonia,"19, 29",C,8,3,4,7,0,1,0,0,2,0
RILEY DIRSCHBERGER,SUNY Fredonia,"21, 28",F,10,3,4,7,1,1,0,0,0,0
ALEC D'ORIO,Union College,"6, 71",C,11,3,4,7,0,0,0,0,0,1
MICHAEL SAFKO,Millersville University,5,F,12,3,4,7,0,2,0,0,6,0
MATTHEW SKOBELEV,Babson College,68,D,12,3,4,7,2,1,0,1,17,0
VLAD RAGOZIN,Penn St. Behrend,8,–,14,3,4,7,1,1,1,0,0,0
MIKE NOWELL,Old Dominion University,10,D,14,3,4,7,1,1,0,0,31,0
LUKE BROWN,"Millersville University , Ithaca College","25, 5",RW,16,3,4,7,0,1,0,0,4,1
Millersville University,25,RW,13,0,1,1,0,0,0,0,4,0,
Ithaca College,5,–,3,3,3,6,0,1,0,0,0,1,
TYLER CALKINS,High Point University,16,C,18,3,4,7,1,1,1,0,2,0
ROBERT SETTLE,Middle Tennessee State University,22,F,18,3,4,7,0,1,0,0,16,0
JAKE NOLE,Liberty University,17,D,20,3,4,7,0,2,1,0,6,0
TONY SHI,Georgia Tech,6,D,20,3,4,7,0,0,1,0,7,0
SHANE KOKOSKA,University of Tennessee,20,D,20,3,4,7,1,2,1,0,14,0
BENNETT TERADA,University of North Carolina - Charlotte,77,RW,21,3,4,7,1,1,0,0,2,0
REMY HAUTAU,"Embry-Riddle University , Embry-Riddle University - FCHC",18,D,23,3,4,7,2,1,0,0,29,0
Embry-Riddle University,18,D,21,2,4,6,1,1,0,0,21,0,
Embry-Riddle University - FCHC,18,–,2,1,0,1,1,0,0,0,8,0,
RYAN MURRAY,Farmingdale State College - D2,2,D,25,3,4,7,0,0,0,0,0,0
OWEN NICHOLS,University of Central Florida,22,F,29,3,4,7,1,0,0,0,14,0
LUKE RILEY,Colgate University,"19, 57",D,4,2,5,7,0,3,0,0,0,0
BRANDON LASPINA,University of Delaware,"13, 8",F,4,2,5,7,0,0,0,0,6,0
BEN GIOVANELLA,Anna Maria College,10,F,6,2,5,7,0,0,0,0,2,0
PRESTON NEARIS,Babson College,40,C,6,2,5,7,0,0,0,2,0,0
JULIUS HORVATH,SUNY Geneseo,"4, 71, 78, 98",D,7,2,5,7,0,1,0,0,0,0
CHRISTIAN COTTONE,Vanderbilt University,4,F,8,2,5,7,0,2,0,0,0,0
SCOTTY COLLINSON,University of Maryland Baltimore County,22,F,9,2,5,7,0,0,0,0,27,0
CHRISTOPHER CUMMINGS,Fairfield University,"15, 26",F,10,2,5,7,0,0,0,1,20,0
JOSHUA BARTON,York College of Pennsylvania,13,D,10,2,5,7,0,2,0,0,4,0
DYLAN SCHAUB,University of Maryland Baltimore County,17,F,13,2,5,7,0,0,1,0,0,0
JOHN GALLAGHER,University of New Hampshire - D3,21,D,13,2,5,7,0,3,0,0,0,0
TYLER KEENAN,Millersville University,14,F,13,2,5,7,2,2,0,0,12,0
GARRETT ESCALA,High Point University,23,F,14,2,5,7,1,0,0,1,2,0
JACOB MUELLER,SUNY Cortland,19,F,15,2,5,7,0,2,0,0,36,0
DAVID GOLEMATIS,Florida Southern College - FCHC,19,D,16,2,5,7,0,2,1,1,0,0
MICHAEL MCKEON,Clemson University,"26, 29, 3","C, F",17,2,5,7,1,0,0,0,12,0
JAMES HITT,Auburn University,"25, 37",LW,17,2,5,7,0,0,0,0,11,0
KURT LINDHORST,University of Mississippi,7,D,18,2,5,7,0,2,0,0,12,0
NICOS EVANGELOUS,University of Tampa,14,D,18,2,5,7,0,0,0,0,30,0
MICHAEL BYCINA,Erie Community College,12,F,19,2,5,7,0,1,1,0,4,0
CORY BENNI,"Embry-Riddle University - FCHC , Embry-Riddle University",7,F,20,2,5,7,0,2,0,0,10,0
Embry-Riddle University - FCHC,7,F,1,0,1,1,0,1,0,0,4,0,
Embry-Riddle University,7,F,19,2,4,6,0,1,0,0,6,0,
ZACHARY SLEZAK,University of South Florida,7,F,29,2,5,7,0,0,0,0,40,0
BRADLY MCDONALD,University of Alabama - Huntsville,11,C,2,1,6,7,0,1,0,0,2,0
JOHN MOFFAT,Anna Maria College,21,F,8,1,6,7,0,0,0,0,7,0
AUSTIN SPATORICO,Canisius College,22,"C, F",9,1,6,7,1,1,0,0,2,0
AIDAN WHEELER,Christopher Newport University,"13, 77",D,11,1,6,7,0,1,0,0,18,0
JELANI WILSON,University of Tampa - FCHC,12,LW,13,1,6,7,0,1,0,0,2,0
LOUIS SACCONE,Farmingdale State College - D3,21,D,14,1,6,7,1,4,0,0,2,0
BLAKE DUFFY,University of Tampa - FCHC,"2, 3",D,15,1,6,7,0,2,0,0,8,0
CHRISTOPHER SCHULZ,Niagara University,8,F,17,1,6,7,0,1,0,0,0,0
MATTHEW CURATTALO,Ramapo College,65,D,18,1,6,7,1,0,0,0,16,0
RYAN WEGENKE,Embry-Riddle University,12,F,22,1,6,7,0,0,0,0,14,0
JUSTIN LASELLA,Quinnipiac University,33,D,23,1,6,7,0,1,0,0,2,0
ANTHONY MICELI,Gannon University,4,D,12,0,7,7,0,3,0,0,34,0
MATTHEW COSOLA,Hofstra University,22,F,17,0,7,7,0,0,0,1,6,0
SEAN EGAN,High Point University,24,D,17,0,7,7,0,2,0,0,20,0
RONAN MULKERRIN,University of South Carolina,11,D,24,0,7,7,0,4,0,1,42,0
MAX NODIFF,Hamilton College,24,F,2,6,0,6,2,0,0,0,0,2
COLIN PATON,College of Charleston,15,C,9,6,0,6,3,0,0,0,12,1
TREVOR LUNDY,University of Tennessee,26,"F, LW",11,6,0,6,1,0,0,0,18,0
CRISTIAN KUNSE,High Point University,92,RW,19,6,0,6,1,0,0,0,6,0
CHRISTIAN HOLTZAPPLE,Penn State University - Harrisburg,"55, 58",F,22,6,0,6,0,0,0,0,8,0
JACK BROSNIHAN,Fairfield University,77,F,22,6,0,6,0,0,1,0,6,0
TREVOR DRAKE,University of Maryland (D3),91,F,3,5,1,6,1,0,0,0,0,1
ROBERT WOGISCH,Bloomsburg University,10,F,9,5,1,6,0,1,0,0,12,0
JEBB VINCENT,Vanderbilt University,13,F,11,5,1,6,0,0,0,0,20,0
RYAN ZABLONSKI,SUNY Fredonia,"11, 18",F,11,5,1,6,1,0,0,0,33,0
NOAH JUNE,Florida Institute of Technology - FCHC,15,F,17,5,1,6,1,0,0,0,32,0
DYLAN SPICER,University of Georgia,5,C,18,5,1,6,0,0,0,0,4,0
KELLY BARLETT,University of South Florida,13,F,22,5,1,6,0,0,0,0,16,0
JOSEPH KOLEGA,University of South Carolina,19,D,26,5,1,6,0,0,0,0,12,0
COLE BAXENDALE,Suffolk Community College - MCHC,12,–,2,4,2,6,1,1,1,0,0,1
DENNIS FRANKLIN,Columbia University - MCHC,8,F,3,4,2,6,1,1,0,0,0,0
WYATT PRESSLEY,Appalachian State,29,LW,5,4,2,6,0,0,0,0,20,1
TREY EDELSTEIN,The Citadel,21,F,5,4,2,6,3,1,0,0,25,0
MATT HEMBRECHT,University of Maryland Baltimore County,"5, 8",F,6,4,2,6,0,0,1,0,4,0
CONNOR BROWN,Niagara County Community College,15,F,9,4,2,6,1,0,0,1,9,1
DYLAN DREVENY,University of Alabama,67,C,9,4,2,6,0,0,0,0,18,0
JAMES WHITE,Babson College,22,F,11,4,2,6,0,0,1,0,16,0
SAMUEL SCHLIFKE,SUNY Fredonia,"4, 44",D,11,4,2,6,0,1,0,0,11,1
PATRICK ROBLES,Mass Maritime Academy,7,F,12,4,2,6,0,0,0,0,9,0
PABLO PALOS,Mercyhurst University,15,"D, F",13,4,2,6,2,0,0,0,38,0
COLIN WEBB,University of New Hampshire - D3,7,D,13,4,2,6,0,0,0,0,8,0
SEAN HANS,SUNY Cortland,12,"F, LW",14,4,2,6,2,1,0,0,16,0
VINCENT DIGIORGIO,University of Tampa,15,F,14,4,2,6,0,0,0,0,6,0
CAMPBELL GARRISON,Widener University,8,F,15,4,2,6,0,0,0,0,13,0
TUCKER VELEPEC,University at Buffalo,19,F,20,4,2,6,1,1,1,0,6,0
CHRIS MANGIACAPRE,Fairfield University,"58, 69",D,21,4,2,6,0,0,0,1,14,0
JEROMY PORUBSKI,Penn State University - Harrisburg,24,F,23,4,2,6,0,0,0,0,4,1
MATTHEW KRIVITSKIY,Montgomery College,71,F,2,3,3,6,0,1,0,0,0,1
JACK CAMPBELL,Colgate University,17,F,3,3,3,6,0,1,0,0,0,0
SEAN MCCARTHY,SUNY Brockport,15,F,3,3,3,6,2,0,0,0,6,0
DAVID FIDISHUN,East Carolina University,"12, 21",RW,3,3,3,6,0,1,1,0,2,0
MATT PUGLIESE,Colgate University,"12, 66, 77",–,4,3,3,6,1,0,0,0,12,0
COOPER MATTHEWS,Gettysburg College,3,D,5,3,3,6,1,2,0,0,0,0
BRYAN ZHOU,John Hopkins University,"25, 87",C,5,3,3,6,0,1,0,0,0,1
TRISTEN ARKON,Middle Tennessee State University,61,F,9,3,3,6,0,1,0,0,8,1
BRADY ZEGRAS,University of Mississippi,11,C,10,3,3,6,1,0,0,0,0,0
BRENDAN HADDIGAN,Mass Maritime Academy,12,F,10,3,3,6,0,0,1,0,0,0
RYAN MILLER,Neumann University,10,C,10,3,3,6,1,1,2,0,4,0
NICHOLAS LEYHAN,Catholic University,"27, 43",D,10,3,3,6,0,0,0,1,6,0
MITCHELL CARLSON,SUNY Brockport,20,F,11,3,3,6,1,0,0,0,4,0
JASON SERGEANT,SUNY Brockport,10,C,12,3,3,6,1,1,0,0,2,0
DEVAN CONRAD,Canisius College,"11, 4",LW,12,3,3,6,1,0,0,0,12,0
DAVID PELLEGRINO,Southern Connecticut State University,"10, 5",C,13,3,3,6,0,0,0,0,13,0
ROBERT MARCUS,University of Miami,"10, 6",F,13,3,3,6,1,2,1,0,10,0
DONALD ROMANO,Farmingdale State College - D3,25,D,14,3,3,6,1,1,0,0,14,0
TRENT HAY,Old Dominion University,12,"F, LW",14,3,3,6,0,0,0,0,28,0
MICHAEL HOCKENBERGER,LeMoyne College,20,–,15,3,3,6,1,1,0,0,2,0
ANDREW BIANCHI,SUNY Cortland,"17, 18",D,15,3,3,6,1,0,1,0,8,0
MARCUS BRATTON,Niagara University,"22, 24",F,16,3,3,6,1,1,0,0,10,0
ZACHARY THOMAS,Middle Tennessee State University,17,D,17,3,3,6,0,0,0,0,6,0
CONNOR CHORDAS,Mass Maritime Academy,61,D,17,3,3,6,0,0,1,0,6,0
SHAUN LAPINSKI,University of Delaware,"0, 16, 28, 5, 6, 8",D,18,3,3,6,0,1,0,0,0,0
PATRICK CONROY,Embry-Riddle University - FCHC,15,F,19,3,3,6,1,1,0,1,8,0
ASH WARNER,Middle Tennessee State University,91,RW,20,3,3,6,0,1,0,0,36,0
CHRISTIAN KEHOE,Alvernia University,11,D,20,3,3,6,0,0,0,0,8,0
GIACOMO LOIACONO,Penn State University - Harrisburg,71,F,21,3,3,6,1,0,0,0,9,0
DANIEL BARTO,University of Georgia,"12, 24",F,22,3,3,6,0,0,0,0,17,0
JACK CARR,University of Central Florida,7,D,29,3,3,6,2,1,0,0,10,0
JACOB ALLAN,Erie Community College,"9, 98","C, F",5,2,4,6,0,1,0,0,20,0
MICHAEL SORNBERGER,SUNY Geneseo,17,–,6,2,4,6,0,0,0,0,6,0
BRENDAN BUCKLEY,Union College,12,F,10,2,4,6,0,0,0,0,2,0
BRENDAN SPINALE,Anna Maria College,7,D,10,2,4,6,0,1,0,0,18,0
OWEN BOERSMA,Vanderbilt University,22,C,11,2,4,6,0,2,0,0,12,0
TOM RELYEA,University of Binghamton,77,D,11,2,4,6,0,1,0,0,8,0
JACK LUSTER,Christopher Newport University,"4, 77",D,11,2,4,6,1,1,0,0,10,0
BRENDAN MALONEY,Babson College,27,D,11,2,4,6,0,0,0,0,4,0
NICHOLAS  DOYLE,Mercyhurst University,17,F,13,2,4,6,1,2,1,0,4,0
JOHN DEWEY,University of Delaware,"11, 13, 3",F,15,2,4,6,0,0,0,0,2,0
ZEKE DICHIARO,University of Delaware,"11, 23, 6, 8",F,15,2,4,6,1,1,0,0,0,0
CONOR BRYDGES,Clemson University,"1, 3, 86, 9, 91",F,15,2,4,6,0,1,1,0,6,0
MATT BROWN,University of Alabama,7,D,19,2,4,6,1,2,0,0,4,0
ERIC JONES,University of North Carolina - Charlotte,17,F,20,2,4,6,0,0,0,0,4,0
ALEXANDER FALLER,Embry-Riddle University,16,F,27,2,4,6,0,0,0,0,43,0
GREGORY VOGEL,University of Rochester,9,LW,5,1,5,6,1,4,0,0,4,0
ERIC PEDRO,University of Tampa,19,C,6,1,5,6,0,1,0,0,4,0
RYAN HEISE,Fordham University,16,F,9,1,5,6,0,2,0,0,43,0
BRYAN WIDDIS,Bloomsburg University,3,F,9,1,5,6,0,0,0,0,4,0
MICHAEL CERRONE,University of Delaware,17,F,9,1,5,6,0,2,0,0,20,0
MICHAEL HAYES,Babson College,2,D,10,1,5,6,0,1,0,1,34,0
CHRISTIAN DIPIETRANTONIO,Union College,"11, 13, 17",RW,10,1,5,6,0,0,0,0,2,0
RYAN MAGEE,College of Charleston,10,F,10,1,5,6,1,2,0,0,4,0
HOLDEN SAROSY,SUNY Cortland,"5, 8",F,11,1,5,6,0,1,0,1,4,0
JUSTIN LANTZ,Salisbury University,6,D,11,1,5,6,1,2,0,1,0,0
KYLE WOODARD,Niagara County Community College,8,D,12,1,5,6,0,0,0,0,24,0
ROBERT LAWRENCE,University of South Carolina,14,C,13,1,5,6,0,1,0,0,12,0
JUDSON SONETT,Widener University,6,D,15,1,5,6,0,0,0,0,8,0
ADAM BRENNAN,Buffalo State College,88,D,15,1,5,6,0,0,0,0,6,0
CONNOR HANSEN,LeMoyne College,16,–,15,1,5,6,0,2,0,0,20,0
ANGELO PICARIELLO,University of Tampa,4,D,18,1,5,6,0,0,0,0,0,0
